date_time,cpu_percent,mem_percent,cpu_average,pid_len,cpu_listval
2023-05-30 11:16:34,40.0,55.6,35.84,313,"53.0,80.8,60.9,20.3,26.6,10.9,15.4,18.8"
2023-05-30 11:16:46,33.8,55.4,42.83,312,"78.8,33.8,47.0,36.9,40.0,29.2,33.8,43.1"
2023-05-30 11:16:59,27.6,55.6,27.78,314,"70.2,15.4,29.2,18.5,16.9,15.4,39.7,16.9"
2023-05-30 11:17:11,28.1,55.5,31.46,312,"47.0,15.4,62.1,18.5,36.5,21.5,33.8,16.9"
2023-05-30 11:17:23,28.7,55.3,23.42,312,"81.8,12.3,30.3,7.7,24.6,9.2,9.2,12.3"
2023-05-30 11:17:35,25.0,55.2,25.05,311,"60.5,10.8,50.6,10.8,27.7,15.4,10.8,13.8"
2023-05-30 11:17:47,27.9,55.2,22.06,311,"68.5,9.2,15.4,26.4,27.7,7.7,10.8,10.8"
2023-05-30 11:17:59,29.4,55.5,24.95,312,"50.7,9.1,15.4,3.1,24.6,12.3,75.2,9.2"
2023-05-30 11:18:11,17.3,55.7,20.56,313,"39.5,20.0,34.3,4.6,27.7,12.3,13.8,12.3"
2023-05-30 11:18:23,22.1,55.7,22.9,313,"35.6,12.3,41.4,9.2,29.2,12.3,32.4,10.8"
2023-05-30 11:18:35,25.0,56.4,44.79,313,"53.1,38.5,78.9,31.2,38.5,41.5,39.1,37.5"
2023-05-30 11:18:47,35.2,57.2,23.88,318,"80.2,4.7,33.8,10.9,36.4,9.4,9.4,6.2"
2023-05-30 11:18:59,22.7,56.9,18.29,316,"65.5,7.8,32.4,7.8,14.1,3.1,10.9,4.7"
2023-05-30 11:19:11,22.1,56.9,18.57,316,"35.8,10.8,34.7,3.1,20.0,10.8,28.8,4.6"
2023-05-30 11:19:23,21.8,56.3,17.8,310,"59.6,9.4,20.3,7.8,18.8,7.8,10.9,7.8"
2023-05-30 11:19:35,27.9,55.3,28.98,310,"78.3,17.2,40.3,14.1,35.4,12.5,23.1,10.9"
2023-05-30 11:19:47,28.2,55.3,24.05,310,"71.7,9.2,28.4,15.4,30.8,12.3,15.4,9.2"
2023-05-30 11:19:59,37.4,54.9,25.21,306,"43.8,14.1,60.9,14.1,17.2,10.9,21.9,18.8"
2023-05-30 11:20:11,39.3,55.0,34.81,305,"36.4,21.5,56.9,82.1,26.2,13.8,23.1,18.5"
2023-05-30 11:20:23,24.6,55.1,19.56,307,"73.5,4.6,21.5,7.7,20.0,10.8,9.2,9.2"
2023-05-30 11:20:35,23.2,55.2,27.59,308,"44.7,21.5,44.4,19.7,28.4,16.9,25.4,19.7"
2023-05-30 11:20:48,28.8,55.4,24.96,308,"62.1,20.3,46.9,10.9,14.1,9.4,17.2,18.8"
2023-05-30 11:21:00,24.2,55.3,21.12,307,"55.2,6.2,36.9,15.4,21.5,7.7,16.9,9.2"
2023-05-30 11:21:12,21.6,55.4,21.3,308,"50.0,15.4,31.3,10.8,26.2,10.8,13.6,12.3"
2023-05-30 11:21:24,27.5,55.5,30.46,309,"69.7,15.2,40.0,16.9,29.2,19.7,31.8,21.2"
2023-05-30 11:21:36,28.2,55.5,26.31,308,"77.7,12.3,44.6,16.9,31.3,7.7,12.3,7.7"
2023-05-30 11:21:48,23.0,55.5,29.6,307,"50.0,18.2,48.5,21.5,40.9,25.4,16.9,15.4"
